name,shorttype,length,index,type,defaultValue,property_Text,properties_Id
User_Id_31,A,4,110,String,RODR,,38
Transaction_Sequence_Number_31,N,5,114,Int,00021,,38
Transaction_Chain_Number_31,N,2,119,Int,02,,38
Host_Task_Id_31,A,4,121,String,FN04,,38
BankMaster_Transaction_Type_31,N,2,125,Int,03,,38
Authorised_Flag_31,A,1,127,String,0,,38
Realtime_Batch_Indicator_5,N,1,128,Int,0,,38
Destination_Branch_Sort_Code_5,A,10,129,String,0000000002,,38
Main_Account_Number_5,A,14,139,String,0244011362383   ,,38
Filler_94,A,6,153,String,      ,,38
Contra_Account_Number_5,A,14,159,String,01164616783   ,,38
Filler_95,A,6,173,String,      ,,38
Transaction_Posting_Date_5,N,8,179,Int,20170919,,38
Clear_Days_5,N,4,187,Int,0000,,38
Original_Reference_Cheque_Number_5,A,10,191,String,00000000  ,,38
Batch_Reference_5,A,7,201,String,       ,,38
Transaction_Value_Date_5,N,8,208,Int,000000,,38
Transaction_Amount_Currency_ISO_Code_5,A,3,216,String,GBP,,38
Transaction_Amount_Sign_5,A,1,219,String,-,,38
Transaction_Amount_5,N,18,220,Int,000000000000003884,,38
Other_Currency_Transaction_Amount_ISO_Code_5,A,3,238,String,USD,,38
Other_Currency_Transaction_Amount_Sign_5,A,1,241,String,-,,38
Other_Currency_Transaction_Amount_5,N,18,242,Int,000000000000005000,,38
Base_Currency_ISO_Code_5,A,3,260,String,EUR,,38
Base_Currency_Transaction_Amount_Sign_5,A,1,263,String,-,,38
Base_Equivalent_of_Transaction_Amount_5,N,18,264,Int,000000000000004256,,38
Multiply_Divide_Flag_5,A,1,282,String,M,,38
Exchange_Rate_5,N,14,283,Int,00000128731097,,38
Maturity_Date_5,N,8,297,Int,00000000,,38
Final_Maturity_Date_5,N,8,305,Int,00000000,,38
Interest_Rate_5,N,9,313,Int,000000000,,38
Discount_Rate_5,N,9,322,Int,000000000,,38
Drawn_Issue_Date_5,N,8,331,Int,00000000,,38
Nominal_Amount_Sign_5,A,1,339,String,+,,38
Nominal_Amount_5,N,18,340,Int,000000000000000000,,38
Interest_Amount_Sign_5,A,1,358,String,+,,38
Interest_Amount_5,A,18,359,String,000000000000000000,,38
Drawer_5,A,15,377,String,               ,,38
Filler_96,A,1,392,String,0,,38
Broker_Number_5,N,6,393,Int,000000,,38
Inter_Branching_Sort_Code_1_5,N,10,399,Int,0000000002,,38
Inter_Branching_Sort_Code_2_5,N,10,409,Int,0000000019,,38
Other_Bank_Sort_Code_5,N,10,419,Int,0000000000,,38
Other_Bank_Account_Number_5,A,14,429,String,              ,,38
Filler_97,A,6,443,String,      ,,38
Passbook_Account_5,N,1,449,Int,0,,38
Update_Status_5,N,2,450,Int,00,,38
Draft_Reference_5,A,18,452,String,                  ,,38
Swift_Message_Type_5,A,3,470,String,   ,,38
Narrative_Lines_5,N,1,473,Int,1,,38
Settlement_Lines_5,N,1,474,Int,0,,38
Commission_Amount_Flag_5,N,1,475,Int,0,,38
Narrative_Code_5,N,4,476,Int,0000,,38
Transaction_Processing_Id_5,N,1,480,Int,0,,38
Drawee_Bank_Sort_Code_5,A,12,481,String,            ,,38
Cheque_Number_Flag_5,N,1,493,Int,1,,38
Supervisor_ID_5,A,4,494,String,    ,,38
Other_Narrative_Flag_5,A,1,498,String, ,,38
Suspense_Commission_Account_Reference_5,A,20,499,String,                    ,,38
Destination_Account_Popup_Flag_5,A,1,519,String, ,,38
Contra_Original_Reference_5,A,10,520,String,          ,,38
Notice_Days_5,A,3,530,String,   ,,38
Next_Interest_Date_5,A,8,533,String,    0000,,38
Interest_Frequency_5,A,1,541,String,0,,38
Account_Type_5,N,2,542,Int,00,,38
Base_Days_5,N,3,544,Int,000,,38
Interest_at_Maturity_Flag_5,N,1,547,Int,0,,38
Tader_Id_5,A,3,548,String,000,,38
Back_Office_Deal_Number_5,N,6,551,Int,000000,,38
City_Dealer_Deal_Number_5,N,8,557,Int,0000    ,,38
Floating_Rate_Flag_5,A,1,565,String, ,,38
Capitalise_Settle_Interest_Flag_5,A,1,566,String, ,,38
Money_Market_Reversal_Deal_Number_5,A,6,567,String,      ,,38
Deposit_or_Loan_Sign_5,A,1,573,String, ,,38
Filler_98,A,2,574,String,  ,,38
Narration 1 _5,A,25,576,String,CROSS GBP TO USD TEST    ,,38
FN-RQS-MULTI-CURR-SUBREF_5,A,2,601,String,  ,,38
Destination_Mailbox_32,A,1,0,String,b,,40
Destination_Country_Code_32,N,3,1,Int,470,,40
Destination_IMD_Code_32,N,6,4,Int,512345,,40
Destination_Branch_Number_32,N,4,10,Int,0002,,40
Source_Mailbox_32,A,1,14,String,a,,40
Source_Country_Code_32,N,3,15,Int,470,,40
Source_IMD_Code_32,N,6,18,Int,512345,,40
Source_Branch_Number_32,N,4,24,Int,0019,,40
Business_Period_32,N,4,28,Int,0000,,40
Message_Type_62,N,1,32,Int,1,,40
Sequence_Number_32,N,6,33,Int,000000,,40
Time_32,N,6,39,Int,152318,,40
Transaction_Status_32,N,1,45,Int,0,,40
Message_Flags_32,A,1,46,String,@,,40
Reconciliation_Period_32,N,4,47,Int,0000,,40
Reconciliation_Currency_32,N,3,51,Int,000,,40
Reconciliation_Amount_Sign_32,A,1,54,String,0,,40
Reconciliation_Amount_32,N,14,55,Int,00000000000000,,40
Filler_99,A,8,69,String,N       ,,40
Message_Length_32,N,4,77,Int,0603,,40
Transaction_Definition_Id_32,N,1,81,Int,0,,40
Transaction_Processed_Flag_32,N,1,82,Int,0,,40
BranchPower_Transaction_Reference_Id_32,A,4,83,String,BRFO,,40
Message_Type_63,N,1,87,Int,1,,40
BankMaster_Destination_Branch_Number_63,N,2,88,Int,00,,40
BankMaster_Destination_Branch_Number_64,N,2,90,Int,00,,40
Filler_100,N,1,92,Int,0,,40
Inter_Branching_Flag_32,A,1,93,String,0,,40
Device_Id_32,N,4,94,Int,0000,,40
Message_Function_Code_32,N,1,98,Int,5,,40
Transaction_Type_58,N,2,99,Int,00,,40
Force_Post_Flag_32,N,1,101,Int,0,,40
Transaction_Date_32,N,8,102,Int,20170919,,40
User_Id_32,A,4,110,String,RODR,,40
Transaction_Sequence_Number_32,N,5,114,Int,00024,,40
Transaction_Chain_Number_32,N,2,119,Int,01,,40
Host_Task_Id_32,A,4,121,String,FN04,,40
BankMaster_Transaction_Type_32,N,2,125,Int,03,,40
Authorised_Flag_32,A,1,127,String,0,,40
Realtime_Batch_Indicator_6,N,1,128,Int,0,,40
Destination_Branch_Sort_Code_6,A,10,129,String,0000000002,,40
Main_Account_Number_6,A,14,139,String,02440203351   ,,40
Filler_101,A,6,153,String,      ,,40
Contra_Account_Number_6,A,14,159,String,01164616783   ,,40
Filler_102,A,6,173,String,      ,,40
Transaction_Posting_Date_6,N,8,179,Int,20170919,,40
Clear_Days_6,N,4,187,Int,0000,,40
Original_Reference_Cheque_Number_6,A,10,191,String,00000000  ,,40
Batch_Reference_6,A,7,201,String,       ,,40
Transaction_Value_Date_6,N,8,208,Int,000000,,40
Transaction_Amount_Currency_ISO_Code_6,A,3,216,String,GBP,,40
Transaction_Amount_Sign_6,A,1,219,String,-,,40
Transaction_Amount_6,N,18,220,Int,000000000000112341,,40
Other_Currency_Transaction_Amount_ISO_Code_6,A,3,238,String,EUR,,40
Other_Currency_Transaction_Amount_Sign_6,A,1,241,String,-,,40
Other_Currency_Transaction_Amount_6,N,18,242,Int,000000000000123100,,40
Base_Currency_ISO_Code_6,A,3,260,String,EUR,,40
Base_Currency_Transaction_Amount_Sign_6,A,1,263,String,-,,40
Base_Equivalent_of_Transaction_Amount_6,N,18,264,Int,000000000000123100,,40
Multiply_Divide_Flag_6,A,1,282,String,D,,40
Exchange_Rate_6,N,14,283,Int,00000091260000,,40
Maturity_Date_6,N,8,297,Int,00000000,,40
Final_Maturity_Date_6,N,8,305,Int,00000000,,40
Interest_Rate_6,N,9,313,Int,000000000,,40
Discount_Rate_6,N,9,322,Int,000000000,,40
Drawn_Issue_Date_6,N,8,331,Int,00000000,,40
Nominal_Amount_Sign_6,A,1,339,String,+,,40
Nominal_Amount_6,N,18,340,Int,000000000000000000,,40
Interest_Amount_Sign_6,A,1,358,String,+,,40
Interest_Amount_6,A,18,359,String,000000000000000000,,40
Drawer_6,A,15,377,String,               ,,40
Filler_103,A,1,392,String,0,,40
Broker_Number_6,N,6,393,Int,000000,,40
Inter_Branching_Sort_Code_1_6,N,10,399,Int,0000000002,,40
Inter_Branching_Sort_Code_2_6,N,10,409,Int,0000000019,,40
Other_Bank_Sort_Code_6,N,10,419,Int,0000000000,,40
Other_Bank_Account_Number_6,A,14,429,String,              ,,40
Filler_104,A,6,443,String,      ,,40
Passbook_Account_6,N,1,449,Int,0,,40
Update_Status_6,N,2,450,Int,00,,40
Draft_Reference_6,A,18,452,String,                  ,,40
Swift_Message_Type_6,A,3,470,String,   ,,40
Narrative_Lines_6,N,1,473,Int,1,,40
Settlement_Lines_6,N,1,474,Int,0,,40
Commission_Amount_Flag_6,N,1,475,Int,0,,40
Narrative_Code_6,N,4,476,Int,0000,,40
Transaction_Processing_Id_6,N,1,480,Int,0,,40
Drawee_Bank_Sort_Code_6,A,12,481,String,            ,,40
Cheque_Number_Flag_6,N,1,493,Int,1,,40
Supervisor_ID_6,A,4,494,String,RODE,,40
Other_Narrative_Flag_6,A,1,498,String, ,,40
Suspense_Commission_Account_Reference_6,A,20,499,String,                    ,,40
Destination_Account_Popup_Flag_6,A,1,519,String, ,,40
Contra_Original_Reference_6,A,10,520,String,          ,,40
Notice_Days_6,A,3,530,String,   ,,40
Next_Interest_Date_6,A,8,533,String,    0000,,40
Interest_Frequency_6,A,1,541,String,0,,40
Account_Type_6,N,2,542,Int,00,,40
Base_Days_6,N,3,544,Int,000,,40
Interest_at_Maturity_Flag_6,N,1,547,Int,0,,40
Tader_Id_6,A,3,548,String,000,,40
Back_Office_Deal_Number_6,N,6,551,Int,000000,,40
City_Dealer_Deal_Number_6,N,8,557,Int,0000    ,,40
Floating_Rate_Flag_6,A,1,565,String, ,,40
Capitalise_Settle_Interest_Flag_6,A,1,566,String, ,,40
Money_Market_Reversal_Deal_Number_6,A,6,567,String,      ,,40
Deposit_or_Loan_Sign_6,A,1,573,String, ,,40
Filler_105,A,2,574,String,  ,,40
Narration 1 _6,A,25,576,String,DR FGN CR EUR TEST       ,,40
FN-RQS-MULTI-CURR-SUBREF_6,A,2,601,String,  ,,40
Destination_Mailbox,A,1,0,String,b,,42
Destination_Country_Code,N,3,1,Int,470,,42
Destination_IMD_Code,N,6,4,Int,512345,,42
Destination_Branch_Number,N,4,10,Int,0005,,42
Source_Mailbox,A,1,14,String,a,,42
Source_Country_Code,N,3,15,Int,470,,42
Source_IMD_Code,N,6,18,Int,512345,,42
Source_Branch_Number,N,4,24,Int,0005,,42
Business_Period,N,4,28,Int,0000,,42
Message_Type,N,1,32,Int,1,,42
Sequence_Number,N,6,33,Int,000000,,42
Time,N,6,39,Int,124311,,42
Transaction_Status,N,1,45,Int,0,,42
Message_Flags,A,1,46,String,@,,42
Reconciliation_Period,N,4,47,Int,0000,,42
Reconciliation_Currency,N,3,51,Int,000,,42
Reconciliation_Amount_Sign,A,1,54,String,0,,42
Reconciliation_Amount,N,14,55,Int,0000          ,,42
Filler,N,8,69,Int,N       ,,42
Message_Length,N,4,77,Int,1238,,42
Transaction_Definition_Id,N,1,81,Int,0,,42
Transaction_Processed_Flag,N,1,82,Int,0,,42
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,,42
Message_Type_1,N,1,87,Int,1,,42
BankMaster_Destination_Branch_Number,N,2,88,Int,00,,42
BankMaster_Destination_Branch_Number_1,N,2,90,Int,00,,42
Filler_1,N,1,92,Int,0,,42
Inter_Branching_Flag,A,1,93,String,0,,42
Device_Id,N,4,94,Int,0000,,42
Message_Function_Code,N,1,98,Int,5,,42
Transaction_Type,N,2,99,Int,00,,42
Force_Post_Flag,N,1,101,Int,0,,42
Transaction_Date,N,8,102,Int,20170216,,42
User_Id,A,4,110,String,RODR,,42
Transaction_Sequence_Number,N,5,114,Int,00000,,42
Transaction_Chain_Number,N,2,119,Int,00,,42
Host_Task_Id,A,4,121,String,ST01,,42
BankMaster_Transaction_Type,A,2,125,String,  ,,42
Authorised_Flag,A,1,127,String,0,,42
Directory,A,6,128,String,esiubp,,42
Name_of_File,A,6,134,String,cusaj3,,42
Transaction_Type_1,N,1,140,Int,2,,42
No_of_Fields,N,2,141,Int,58,,42
Dsp_of_CLIENT NR,N,8,143,Int,01060002,,42
Filler     ,A,3,151,String,   ,,42
CLIENT NR ,N,6,154,Int,599817,,42
Dsp_of_SHORT NAME,A,8,160,String,02300008,,42
Filler      ,A,3,168,String,   ,,42
SHORT NAME,A,30,171,String,FRIGGIERI ANTOINE &/OR SARAH  ,,42
Dsp_of_POST NAME,A,8,201,String,03500231,,42
Filler     _1,A,3,209,String,   ,,42
POST NAME,A,50,212,String,MR & MRS A FRIGGIERI                              ,,42
Dsp_of_ADDRESS 1,A,8,262,String,04300038,,42
Filler     _2,A,3,270,String,   ,,42
ADDRESS 1,A,30,273,String,BRIGHT SIDE, 205A             ,,42
Dsp_of_ADDRESS 2,A,8,303,String,05300068,,42
Filler     _3,A,3,311,String,   ,,42
ADDRESS 2,A,30,314,String,TRIQ IL-MEDITERRAN            ,,42
Dsp_of_ADDRESS 3,A,8,344,String,06200098,,42
Filler     _4,A,3,352,String,   ,,42
ADDRESS 3,A,20,355,String,MOSTA               ,,42
Dsp_of_ADDRESS 4,A,8,375,String,07200118,,42
Filler     _5,A,3,383,String,   ,,42
ADDRESS 4,A,20,386,String,MALTA               ,,42
Dsp_of_POST CODE,A,8,406,String,08100138,,42
Filler     _6,A,3,414,String,   ,,42
POST CODE,A,10,417,String,MST4001   ,,42
Dsp_of_ALHPA-CODE,A,8,427,String,09151149,,42
Filler     _7,A,3,435,String,   ,,42
ALHPA-CODE,A,15,438,String,FRIGGIERIANTSAR,,42
Dsp_of_DATE EST,A,8,453,String,10080176,,42
Filler     _8,A,3,461,String,   ,,42
DATE EST,A,8,464,String,        ,,42
Dsp_of_HOME PHONE,A,8,472,String,11091852,,42
Filler     _9,A,3,480,String,   ,,42
HOME PHONE,A,9,483,String,21985236 ,,42
Dsp_of_ALT PHONE,A,8,492,String,12091861,,42
Filler     _10,A,3,500,String,   ,,42
ALT PHONE,A,9,503,String,99725890 ,,42
Dsp_of_OCCUPATION,A,8,512,String,13021870,,42
Filler     _11,A,3,520,String,   ,,42
OCCUPATION,A,2,523,String,  ,,42
Dsp_of_EMPLOYER,A,8,525,String,14161872,,42
Filler     _12,A,3,533,String,   ,,42
EMPLOYER,A,16,536,String,                ,,42
Dsp_of_LOC TAX NO,A,8,552,String,15101888,,42
Filler     _13,A,3,560,String,   ,,42
LOC TAX NO,A,10,563,String,159887M   ,,42
Dsp_of_MARITAL ST,A,8,573,String,16011898,,42
Filler     _14,A,3,581,String,   ,,42
MARITAL ST,A,1,584,String, ,,42
Dsp_of_CNTR RISK,A,8,585,String,17021921,,42
Filler     _15,A,3,593,String,MT,,42
CNTR RISK,A,2,596,String,00,,42
Dsp_of_CNTR CTZN,A,8,598,String,18021923,,42
Filler     _16,A,3,606,String,   ,,42
CNTR CTZN,A,2,609,String,MT,,42
Dsp_of_CNTR RES,A,8,611,String,19021925,,42
Filler     _17,A,3,619,String,   ,,42
CNTR RES,A,2,622,String,MT,,42
Dsp_of_NXT REV DT,A,8,624,String,20081927,,42
Filler     _18,A,3,632,String,   ,,42
NXT REV DT,N,8,635,Int,20190216,,42
Dsp_of_ID-CARD-1,A,8,643,String,21081933,,42
Filler     _19,A,3,651,String,   ,,42
ID-CARD-1,A,8,654,String,159887M ,,42
Dsp_of_ID-CARD-2,A,8,662,String,22081941,,42
Filler     _20,A,3,670,String,   ,,42
ID-CARD-2,A,8,673,String,005585M ,,42
Dsp_of_ID-CARD-3 ,A,8,681,String,23081949,,42
Filler     _21,A,3,689,String,   ,,42
ID-CARD-3 ,A,8,692,String,        ,,42
Dsp_of_SOC ECO GR,A,8,700,String,24011957,,42
Filler     _22,A,3,708,String,   ,,42
SOC ECO GR,N,1,711,Int,4,,42
Dsp_of_FTHR/SPOUS,A,8,712,String,25121958,,42
Filler     _23,A,3,720,String,   ,,42
FTHR/SPOUS,A,12,723,String,            ,,42
Dsp_of_CONN CLNT1,A,8,735,String,26061970,,42
Filler     _24,A,3,743,String,   ,,42
CONN CLNT1,N,6,746,Int,599816,,42
Dsp_of_CONN CLNT2,A,8,752,String,27061976,,42
Filler     _25,A,3,760,String,   ,,42
CONN CLNT2,A,6,763,String,      ,,42
Dsp_of_CONN CLNT3,A,8,769,String,28061982,,42
Filler     _26,A,3,777,String,   ,,42
CONN CLNT3,A,6,780,String,      ,,42
Dsp_of_CONN CLNT4,A,8,786,String,29061988,,42
Filler     _27,A,3,794,String,   ,,42
CONN CLNT4,A,6,797,String,      ,,42
Dsp_of_PRIME A/C,A,8,803,String,30130155,,42
Filler     _28,A,3,811,String,   ,,42
PRIME A/C,A,13,814,String,             ,,42
Dsp_of_BANK FLAG,A,8,827,String,31010175,,42
Filler     _29,A,3,835,String,   ,,42
BANK FLAG,N,1,838,Int,0,,42
Dsp_of_NON-RES CD,A,8,839,String,32010148,,42
Filler     _30,A,3,847,String,   ,,42
NON-RES CD,A,1,850,String,0,,42
Dsp_of_STAFF IND.,A,8,851,String,33010184,,42
Filler     _31,A,3,859,String,   ,,42
STAFF IND.,A,1,862,String,0,,42
Dsp_of_SEX INDIC.,A,8,863,String,34010186,,42
Filler     _32,A,3,871,String,   ,,42
SEX INDIC.,A,1,874,String, ,,42
Dsp_of_LANG IND ,A,8,875,String,35010185,,42
Filler     _33,A,3,883,String,   ,,42
LANG IND ,N,1,886,Int,0,,42
Dsp_of_GAP ANL IN,A,8,887,String,36010187,,42
Filler     _34,A,3,895,String,   ,,42
GAP ANL IN,N,1,898,Int,0,,42
Dsp_of_CORR ADD,A,8,899,String,37060190,,42
Filler     _35,A,3,907,String,   ,,42
CORR ADD,A,6,910,String,      ,,42
Dsp_of_INT PAID ,A,8,916,String,38010291,,42
Filler     _36,A,3,924,String,   ,,42
INT PAID ,N,1,927,Int,0,,42
Dsp_of_INT RECD.,A,8,928,String,39010292,,42
Filler     _37,A,3,936,String,   ,,42
INT RECD.,N,1,939,Int,0,,42
Dsp_of_FX FUT IND,A,8,940,String,40010299,,42
Filler     _38,A,3,948,String,   ,,42
FX FUT IND,N,1,951,Int,0,,42
Dsp_of_COMM CODE ,A,8,952,String,41010399,,42
Filler     _39,A,3,960,String,   ,,42
COMM CODE ,A,1,963,String, ,,42
Dsp_of_ALT. MSG.?,A,8,964,String,42010385,,42
Filler     _40,A,3,972,String,   ,,42
ALT. MSG.?,N,1,975,Int,0,,42
Dsp_of_FIN. INST.,A,8,976,String,43010396,,42
Filler     _41,A,3,984,String,   ,,42
FIN. INST.,N,1,987,Int,0,,42
Dsp_of_TAX FLAG,A,8,988,String,44010397,,42
Filler     _42,A,3,996,String,   ,,42
TAX FLAG,A,1,999,String, ,,42
Dsp_of_FILLER,A,8,1000,String,45070168,,42
Filler     _43,A,3,1008,String,   ,,42
FILLER,A,7,1011,String,       ,,42
Dsp_of_BRANCH NO,A,8,1018,String,46041848,,42
Filler     _44,A,3,1026,String,   ,,42
BRANCH NO,N,4,1029,Int,0005,,42
Dsp_of_POST NAME [TITLES],A,8,1033,String,47100281,,42
Filler     _45,A,3,1041,String,   ,,42
POST NAME [TITLES],A,10,1044,String,          ,,42
Dsp_of_ZONE ,A,8,1054,String,48011994,,42
Filler     _46,A,3,1062,String,   ,,42
ZONE ,A,1,1065,String,A,,42
Dsp_of_ALTKEY ONE,A,8,1066,String,49151164,,42
Filler     _47,A,3,1074,String,   ,,42
ALTKEY ONE,A,15,1077,String,        ,,42
Dsp_of_MAIDEN SNM,A,8,1092,String,50301995,,42
Filler     _48,A,3,1100,String,   ,,42
MAIDEN SNM,A,30,1103,String,                              ,,42
Dsp_of_DEPT.INDIC,A,8,1133,String,51011908,,42
Filler     _49,A,3,1141,String,   ,,42
DEPT.INDIC,N,1,1144,Int,0,,42
Dsp_of_RSK GRADE,A,8,1145,String,52021909,,42
Filler     _50,A,3,1153,String,   ,,42
RSK GRADE,A,2,1156,String,R2,,42
Dsp_of_CUST TYPE,A,8,1158,String,53011911,,42
Filler     _51,A,3,1166,String,   ,,42
CUST TYPE,A,1,1169,String,P,,42
Dsp_of_DOC.IN.ORD,A,8,1170,String,54012025,,42
Filler     _52,A,3,1178,String,   ,,42
DOC.IN.ORD,A,1,1181,String,Y,,42
Dsp_of_DOC. TYPE,A,8,1182,String,55012032,,42
Filler     _53,A,3,1190,String,   ,,42
DOC. TYPE,A,1,1193,String,I,,42
Dsp_of_CNTR ISSUE,A,8,1194,String,56022033,,42
Filler     _54,A,3,1202,String,   ,,42
CNTR ISSUE,A,2,1205,String,MT,,42
Dsp_of_REL. PARTY,A,8,1207,String,57012036,,42
Filler     _55,A,3,1215,String,   ,,42
REL. PARTY,A,1,1218,String,N,,42
Dsp_of_DTE INSERT,A,8,1219,String,58082026,,42
Filler     _56,A,3,1227,String,   ,,42
DTE INSERT,N,8,1230,Int,20170216,,42
Destination_Mailbox,A,1,0,String,b,,43
Destination_Country_Code,N,3,1,Int,470,,43
Destination_IMD_Code,N,6,4,Int,512345,,43
Destination_Branch_Number,N,4,10,Int,0005,,43
Source_Mailbox,A,1,14,String,a,,43
Source_Country_Code,N,3,15,Int,470,,43
Source_IMD_Code,N,6,18,Int,512345,,43
Source_Branch_Number,N,4,24,Int,0005,,43
Business_Period,N,4,28,Int,0000,,43
Message_Type,N,1,32,Int,1,,43
Sequence_Number,N,6,33,Int,000000,,43
Time,N,6,39,Int,123545,,43
Transaction_Status,N,1,45,Int,0,,43
Message_Flags,A,1,46,String,@,,43
Reconciliation_Period,N,4,47,Int,0000,,43
Reconciliation_Currency,N,3,51,Int,000,,43
Reconciliation_Amount_Sign,A,1,54,String,0,,43
Reconciliation_Amount,N,14,55,Int,0000          ,,43
Filler,N,8,69,Int,N       ,,43
Message_Length,N,4,77,Int,1238,,43
Transaction_Definition_Id,N,1,81,Int,0,,43
Transaction_Processed_Flag,N,1,82,Int,0,,43
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,,43
Message_Type,N,1,87,Int,1,,43
BankMaster_Destination_Branch_Number,N,2,88,Int,00,,43
BankMaster_Destination_Branch_Number,N,2,90,Int,00,,43
Filler,N,1,92,Int,0,,43
Inter_Branching_Flag,A,1,93,String,0,,43
Device_Id,N,4,94,Int,0000,,43
Message_Function_Code,N,1,98,Int,3,,43
Transaction_Type,N,2,99,Int,00,,43
Force_Post_Flag,N,1,101,Int,0,,43
Transaction_Date,N,8,102,Int,20170216,,43
User_Id,A,4,110,String,RODR,,43
Transaction_Sequence_Number,N,5,114,Int,00000,,43
Transaction_Chain_Number,N,2,119,Int,00,,43
Host_Task_Id,A,4,121,String,ST01,,43
BankMaster_Transaction_Type,N,2,125,Int,  ,,43
Authorised_Flag,A,1,127,String,0,,43
Directory,A,6,128,String,esiubp,,43
Name_of_File,A,6,134,String,cusaj3,,43
Transaction_Type,N,1,140,Int,3,,43
No_of_Fields,N,2,141,Int,58,,43
Dsp_of_CLIENT NR,N,8,143,Int,01060002,,43
Filler     ,A,3,151,String,   ,,43
CLIENT NR ,N,6,154,Int,599817,,43
Dsp_of_SHORT NAME,A,8,160,String,02300008,,43
Filler      ,A,3,168,String,   ,,43
SHORT NAME,A,30,171,String,                              ,,43
Dsp_of_POST NAME,A,8,201,String,03500231,,43
Filler     ,A,3,209,String,   ,,43
POST NAME,A,50,212,String,                                                  ,,43
Dsp_of_ADDRESS 1,A,8,262,String,04300038,,43
Filler     ,A,3,270,String,   ,,43
ADDRESS 1,A,30,273,String,                              ,,43
Dsp_of_ADDRESS 2,A,8,303,String,05300068,,43
Filler     ,A,3,311,String,   ,,43
ADDRESS 2,A,30,314,String,                              ,,43
Dsp_of_ADDRESS 3,A,8,344,String,06200098,,43
Filler     ,A,3,352,String,   ,,43
ADDRESS 3,A,20,355,String,                    ,,43
Dsp_of_ADDRESS 4,A,8,375,String,07200118,,43
Filler     ,A,3,383,String,   ,,43
ADDRESS 4,A,20,386,String,                    ,,43
Dsp_of_POST CODE,A,8,406,String,08100138,,43
Filler     ,A,3,414,String,   ,,43
POST CODE,A,10,417,String,          ,,43
Dsp_of_ALHPA-CODE,A,8,427,String,09151149,,43
Filler     ,A,3,435,String,   ,,43
ALHPA-CODE,A,15,438,String,               ,,43
Dsp_of_DATE EST,A,8,453,String,10080176,,43
Filler     ,A,3,461,String,   ,,43
DATE EST,N,8,464,Int,        ,,43
Dsp_of_HOME PHONE,A,8,472,String,11091852,,43
Filler     ,A,3,480,String,   ,,43
HOME PHONE,A,9,483,String,         ,,43
Dsp_of_ALT PHONE,A,8,492,String,12091861,,43
Filler     ,A,3,500,String,   ,,43
ALT PHONE,A,9,503,String,         ,,43
Dsp_of_OCCUPATION,A,8,512,String,13021870,,43
Filler     ,A,3,520,String,   ,,43
OCCUPATION,A,2,523,String,  ,,43
Dsp_of_EMPLOYER,A,8,525,String,14161872,,43
Filler     ,A,3,533,String,   ,,43
EMPLOYER,A,16,536,String,                ,,43
Dsp_of_LOC TAX NO,A,8,552,String,15101888,,43
Filler     ,A,3,560,String,   ,,43
LOC TAX NO,A,10,563,String,          ,,43
Dsp_of_MARITAL ST,A,8,573,String,16011898,,43
Filler     ,A,3,581,String,   ,,43
MARITAL ST,A,1,584,String, ,,43
Dsp_of_CNTR RISK,A,8,585,String,17021921,,43
Filler     ,A,3,593,String,   ,,43
CNTR RISK,A,2,596,String,00,,43
Dsp_of_CNTR CTZN,A,8,598,String,18021923,,43
Filler     ,A,3,606,String,   ,,43
CNTR CTZN,A,2,609,String,00,,43
Dsp_of_CNTR RES,A,8,611,String,19021925,,43
Filler     ,A,3,619,String,   ,,43
CNTR RES,A,2,622,String,00,,43
Dsp_of_NXT REV DT,A,8,624,String,20081927,,43
Filler     ,A,3,632,String,   ,,43
NXT REV DT,N,8,635,Int,        ,,43
Dsp_of_ID-CARD-1,A,8,643,String,21081933,,43
Filler     ,A,3,651,String,   ,,43
ID-CARD-1,A,8,654,String,        ,,43
Dsp_of_ID-CARD-2,A,8,662,String,22081941,,43
Filler     ,A,3,670,String,   ,,43
ID-CARD-2,A,8,673,String,        ,,43
Dsp_of_ID-CARD-3 ,A,8,681,String,23081949,,43
Filler     ,A,3,689,String,   ,,43
ID-CARD-3 ,A,8,692,String,        ,,43
Dsp_of_SOC ECO GR,A,8,700,String,24011957,,43
Filler     ,A,3,708,String,   ,,43
SOC ECO GR,N,1,711,Int,0,,43
Dsp_of_FTHR/SPOUS,A,8,712,String,25121958,,43
Filler     ,A,3,720,String,   ,,43
FTHR/SPOUS,A,12,723,String,            ,,43
Dsp_of_CONN CLNT1,A,8,735,String,26061970,,43
Filler     ,A,3,743,String,   ,,43
CONN CLNT1,N,6,746,Int,      ,,43
Dsp_of_CONN CLNT2,A,8,752,String,27061976,,43
Filler     ,A,3,760,String,   ,,43
CONN CLNT2,N,6,763,Int,      ,,43
Dsp_of_CONN CLNT3,A,8,769,String,28061982,,43
Filler     ,A,3,777,String,   ,,43
CONN CLNT3,N,6,780,Int,      ,,43
Dsp_of_CONN CLNT4,A,8,786,String,29061988,,43
Filler     ,A,3,794,String,   ,,43
CONN CLNT4,N,6,797,Int,      ,,43
Dsp_of_PRIME A/C,A,8,803,String,30130155,,43
Filler     ,A,3,811,String,   ,,43
PRIME A/C,A,13,814,String,             ,,43
Dsp_of_BANK FLAG,A,8,827,String,31010175,,43
Filler     ,A,3,835,String,   ,,43
